from_code,to_code,weight,method
ES120,ES120,1.0,composed
ES130,ES130,1.0,composed
ES211,ES211,1.0,composed
ES212,ES212,1.0,composed
ES213,ES213,1.0,composed
ES220,ES220,1.0,composed
ES230,ES230,1.0,composed
ES241,ES241,1.0,composed
ES242,ES242,1.0,composed
ES243,ES243,1.0,composed
ES300,ES300,1.0,composed
ES411,ES411,1.0,composed
ES412,ES412,1.0,composed
ES413,ES413,1.0,composed
ES414,ES414,1.0,composed
ES415,ES415,1.0,composed
ES416,ES416,1.0,composed
ES417,ES417,1.0,composed
ES418,ES418,1.0,composed
ES419,ES419,1.0,composed
ES421,ES421,1.0,composed
ES422,ES422,1.0,composed
ES423,ES423,1.0,composed
ES424,ES424,1.0,composed
ES425,ES425,1.0,composed
ES431,ES431,1.0,composed
ES432,ES432,1.0,composed
ES511,ES511,1.0,composed
ES512,ES512,1.0,composed
ES513,ES513,1.0,composed
ES514,ES514,1.0,composed
ES521,ES521,1.0,composed
ES522,ES522,1.0,composed
ES523,ES523,1.0,composed
ES531,ES531,1.0,composed
ES532,ES532,1.0,composed
ES533,ES533,1.0,composed
ES611,ES611,1.0,composed
ES612,ES612,1.0,composed
ES613,ES613,1.0,composed
ES614,ES614,1.0,composed
ES615,ES615,1.0,composed
ES616,ES616,1.0,composed
ES617,ES617,1.0,composed
ES618,ES618,1.0,composed
ES620,ES620,1.0,composed
ES630,ES630,1.0,composed
ES640,ES640,1.0,composed
ES703,ES703,1.0,composed
ES704,ES704,1.0,composed
ES705,ES705,1.0,composed
ES706,ES706,1.0,composed
ES707,ES707,1.0,composed
ES708,ES708,1.0,composed
ES709,ES709,1.0,composed
FI193,FI198,1.0,composed
FI194,FI199,1.0,composed
FI195,FI19A,1.0,composed
FI196,FI196,1.0,composed
FI197,FI19B,1.0,composed
FI1B1,FI1B1,1.0,composed
FI1C1,FI1C1,1.0,composed
FI1C2,FI1C2,1.0,composed
FI1C3,FI1C6,1.0,composed
FI1C4,FI1C7,1.0,composed
FI1C5,FI1C5,1.0,composed
FI1D1,FI1DA,1.0,composed
FI1D2,FI1DB,1.0,composed
FI1D3,FI1DC,1.0,composed
FI1D5,FI1D5,1.0,composed
FI1D7,FI1D7,1.0,composed
FI1D8,FI1D8,1.0,composed
FI1D9,FI1D9,1.0,composed
FI200,FI200,1.0,composed
FR101,FR101,1.0,composed
FR102,FR102,1.0,composed
FR103,FR103,1.0,composed
FR104,FR104,1.0,composed
FR105,FR105,1.0,composed
FR106,FR106,1.0,composed
FR107,FR107,1.0,composed
FR108,FR108,1.0,composed
FRB01,FRB01,1.0,composed
FRB02,FRB02,1.0,composed
FRB03,FRB03,1.0,composed
FRB04,FRB04,1.0,composed
FRB05,FRB05,1.0,composed
FRB06,FRB06,1.0,composed
FRC11,FRC11,1.0,composed
FRC12,FRC12,1.0,composed
FRC13,FRC13,1.0,composed
FRC14,FRC14,1.0,composed
FRC21,FRC21,1.0,composed
FRC22,FRC22,1.0,composed
FRC23,FRC23,1.0,composed
FRC24,FRC24,1.0,composed
FRD11,FRD11,1.0,composed
FRD12,FRD12,1.0,composed
FRD13,FRD13,1.0,composed
FRD21,FRD21,1.0,composed
FRD22,FRD22,1.0,composed
FRE11,FRE11,1.0,composed
FRE12,FRE12,1.0,composed
FRE21,FRE21,1.0,composed
FRE22,FRE22,1.0,composed
FRE23,FRE23,1.0,composed
FRF11,FRF11,1.0,composed
FRF12,FRF12,1.0,composed
FRF21,FRF21,1.0,composed
FRF22,FRF22,1.0,composed
FRF23,FRF23,1.0,composed
FRF24,FRF24,1.0,composed
FRF31,FRF31,1.0,composed
FRF32,FRF32,1.0,composed
FRF33,FRF33,1.0,composed
FRF34,FRF34,1.0,composed
FRG01,FRG01,1.0,composed
FRG02,FRG02,1.0,composed
FRG03,FRG03,1.0,composed
FRG04,FRG04,1.0,composed
FRG05,FRG05,1.0,composed
FRH01,FRH01,1.0,composed
FRH02,FRH02,1.0,composed
FRH03,FRH03,1.0,composed
FRH04,FRH04,1.0,composed
FRI11,FRI11,1.0,composed
FRI12,FRI12,1.0,composed
FRI13,FRI13,1.0,composed
FRI14,FRI14,1.0,composed
FRI15,FRI15,1.0,composed
FRI21,FRI21,1.0,composed
FRI22,FRI22,1.0,composed
FRI23,FRI23,1.0,composed
FRI31,FRI31,1.0,composed
FRI32,FRI32,1.0,composed
FRI33,FRI33,1.0,composed
FRI34,FRI34,1.0,composed
FRJ11,FRJ11,1.0,composed
FRJ12,FRJ12,1.0,composed
FRJ13,FRJ13,1.0,composed
FRJ14,FRJ14,1.0,composed
FRJ15,FRJ15,1.0,composed
FRJ21,FRJ21,1.0,composed
FRJ22,FRJ22,1.0,composed
FRJ23,FRJ23,1.0,composed
FRJ24,FRJ24,1.0,composed
FRJ25,FRJ25,1.0,composed
FRJ26,FRJ26,1.0,composed
FRJ27,FRJ27,1.0,composed
FRJ28,FRJ28,1.0,composed
FRK11,FRK11,1.0,composed
FRK12,FRK12,1.0,composed
FRK13,FRK13,1.0,composed
FRK14,FRK14,1.0,composed
FRK21,FRK21,1.0,composed
FRK22,FRK22,1.0,composed
FRK23,FRK23,1.0,composed
FRK24,FRK24,1.0,composed
FRK25,FRK25,1.0,composed
FRK26,FRK26,1.0,composed
FRK27,FRK27,1.0,composed
FRK28,FRK28,1.0,composed
FRL01,FRL01,1.0,composed
FRL02,FRL02,1.0,composed
FRL03,FRL03,1.0,composed
FRL04,FRL04,1.0,composed
FRL05,FRL05,1.0,composed
FRL06,FRL06,1.0,composed
FRM01,FRM01,1.0,composed
FRM02,FRM02,1.0,composed
FRY10,FRY10,1.0,composed
FRY20,FRY20,1.0,composed
FRY30,FRY30,1.0,composed
FRY40,FRY40,1.0,composed
FRY50,FRY50,1.0,composed
HR031,HR031,1.0,composed
HR032,HR032,1.0,composed
HR033,HR033,1.0,composed
HR034,HR034,1.0,composed
HR035,HR035,1.0,composed
HR036,HR036,1.0,composed
HR037,HR037,1.0,composed
HR041,HR050,1.0,composed
HR042,HR065,1.0,composed
HR043,HR064,1.0,composed
HR044,HR062,1.0,composed
HR045,HR063,1.0,composed
HR046,HR061,1.0,composed
HR047,HR021,1.0,composed
HR048,HR022,1.0,composed
HR049,HR023,1.0,composed
HR04A,HR024,1.0,composed
HR04B,HR025,1.0,composed
HR04C,HR026,1.0,composed
HR04D,HR027,1.0,composed
HR04E,HR028,1.0,composed
HU110,HU110,1.0,composed
HU120,HU120,1.0,composed
HU211,HU211,1.0,composed
HU212,HU212,1.0,composed
HU213,HU213,1.0,composed
HU221,HU221,1.0,composed
HU222,HU222,1.0,composed
HU223,HU223,1.0,composed
HU231,HU231,1.0,composed
HU232,HU232,1.0,composed
HU233,HU233,1.0,composed
HU311,HU311,1.0,composed
HU312,HU312,1.0,composed
HU313,HU313,1.0,composed
HU321,HU321,1.0,composed
HU322,HU322,1.0,composed
HU323,HU323,1.0,composed
HU331,HU331,1.0,composed
HU332,HU332,1.0,composed
HU333,HU333,1.0,composed
IE041,IE041,1.0,composed
